date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-04-26,1034,1428,455822766.3431831259562411,15.3862232395361,0.7792656490442648328779362463,6,0.3038818442625534,30510.880684,1545.2837820547727927630876,0,0,0,0,0,91.78691226,828.7322425466679,0.000039064822326125173,0.0506469740437589,3148.4727322447216,265.3686820484486,8999999999,1983,1808,98053194.91736,4966097.617887164019709264504,54296.9269454425,2749.975049661699512507923813,3132.7798805,158.66582129249360851281145,98168843.91736,4971954.889788350692735364504,0.07057250665413747,0.09037622611343223,0.09309311139650701
2017-04-27,1143,1430,428626115.3221237760700279,14.0079571028825,0.6671306930305120007250545782,6,0.2857507435798326,31587.943267,1504.3797127838027756928507,0,0,0,0,0,70.61482839,697.7941516435714,0.000035385600233781414,0.0476251239299721,2775.5525036667245,247.35582572565926,8999999999,2255,2079,127451984.302878,6069916.547545423495308489704,61364.264695949,2922.480711016182830974553023,2415.897884,115.0574361276573605690364,127576306.302878,6075837.398202645486724689704,0.07054313765316539,0.09187969923890751,0.0938965560363121
2017-04-28,982,1430,445933923.8597751862322974,11.3265334161616,0.5612094989510017517949423402,6,0.2972892826062156,16819.902123,833.3961059422387905726198,0,0,0,0,0,286.10221079,706.4443063696074,0.00003675723991817644,0.0495482137677026,2968.3902983603994,233.62866506054493,8999999999,1485,1371,31457289.246558,1558652.492140908044388617651,22985.8958764099,1138.910082526511428157858896,364.336259,18.0522108442570603085734,31513663.246558,1561445.723143848510761017651,0.07049481069882807,0.09159305816880148,0.09374584990746446
2017-04-29,897,1433,447408779.0928150134286081,10.7553067085541,0.5346687381975134901360734518,6,0.2982725194283514,14207.760162,706.2974031589170057094878,0,0,0,0,0,65.65403968,633.5858766656874,0.00003661451578024556,0.0497120865713919,2904.705272433206,246.13148427945788,8999999999,1321,1201,137082196.956744,6814642.042510252983272171974,114243.464576806,5679.281001257923764439876271,343,17.0512456939874217,137206400.956744,6820816.482510766142819771974,0.07044527586704678,0.09081594842570102,0.09361162497131037
2017-04-30,911,1422,470518829.4696959300531138,10.2904859645495,0.5379852679169056551411107669,6,0.3136792196813172,13933.317996,728.4320527594890546240552,0,0,0,0,0,312.6406896,651.4856239070655,0.00003783033313851558,0.0522798699468862,3173.3291996061816,242.91870807152182,8999999999,1354,1236,28787039.878354,1504982.700996173855289081315,23450.6795132314,1225.998475117846170388130067,340,17.775155781941308,28985039.878354,1515334.115245657322889081315,0.07042444439783907,0.09076709656025748,0.09306942230035135
2017-05-01,993,1426,468807213.2243351096359528,11.9897110641102,0.6245403368838911855363388014,6,0.3125381421842832,20010.827766,1042.3578222592183578945552,0,0,0,0,0,175.96239019,624.349404290072,0.00003625039070718885,0.0520896903640472,3088.8617258183,192.9419372438439,8999999999,1669,1473,51147293.40369,2664246.676357285907291814168,34804.807470258,1812.971644306016146106508178,1148,59.7989645379261856,51267481.40369,2670507.232062760012165414168,0.07037989905074235,0.08854592908161679,0.09266662297664294
2017-05-02,922,1435,471985006.6709723214751761,10.9113290453901,0.5722204125388712014827093034,6,0.3146566711489434,15384.973954,806.8307816798062439367006,0,0,0,0,0,202.97663386,608.4563038654652,0.00003582599766218593,0.0524427785248239,3221.1770292273927,215.49110354407824,8999999999,1410,1297,44340079.090515,2325316.947517053285262535308,34363.5174175135,1802.118333260589021280363373,448.797007,23.5361620407048415220673,44569482.090515,2337347.478238983462394235308,0.07034387994525157,0.08657805457738282,0.0927118199348044
2017-05-03,867,1425,487417973.9752628473300644,8.9305839823381,0.4836585723967588708892644264,6,0.3249453160196136,10618.464355,575.070042579746248745538,0,0,0,0,0,360.73788875,617.8275419423668,0.00003564382904734086,0.0541575526699356,3326.1731650023285,165.7487648084993,8999999999,1189,1084,24948862.538654,1351169.336992137209158690682,23015.5558474668,1246.466178037027505279779138,348,18.8468283291375888,24948862.538654,1351169.336992137209158690682,0.0703555735890044,0.08074177233323815,0.09244777718641557
2017-05-04,971,1423,573277422.7372194085776759,9.95289483864407,0.6339744336118244561533720831,6,0.3821849485339446,14680.519887,935.1122895774408658093767,0,0,0,0,0,157.44280298,694.1154239612256,0.00004136657247223845,0.0636974914223241,4032.059079800001,245.12922800972663,8999999999,1475,1319,57163616.429182,3641178.967166845443561501886,43362.7721222001,2762.099805302035479962347252,500,31.84874571116205,57195496.429182,3643209.643193389135869501886,0.07117807980788601,0.08013994024597132,0.09268765142361034
2017-05-05,1215,1428,651427079.8591241133409439,10.5600109579093,0.7643419002617276885867674117,6,0.4342847199543366,22830.743691,1652.5071883658620230900651,0,0,0,0,0,48.83946415,670.8500995446427,0.000047312328462887216,0.0723807866590561,4591.105810199095,310.1139726147515,8999999999,2162,1922,184277206.060835,13338129.13801621786166027784,96015.1285436186,6949.650535157505711175554403,1333,96.4835886165217813,184541077.060835,13357228.32857272965382337784,0.0715098608663408,0.07994452907698102,0.09307624089470093
2017-05-06,968,1424,658779407.8783354880053852,9.13359033867735,0.6685579150873009155313547348,6,0.4391862719676888,13672.984737,1000.8311988856899865943076,0,0,0,0,0,128.49489891,641.7601938088609,0.00004652538369374641,0.0731977119946148,4372.786291724418,337.88016462770577,8999999999,1497,1355,70041690.954716,5126891.522119118295662663397,51691.2848374288,3783.683780161712215799078426,500,36.5988559973074,70041690.954716,5126891.522119118295662663397,0.0712496191462507,0.07795114863791673,0.09306855852872331
