date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-03-11,252,8589,5595376,651.458376993829,11611328.43202706930577009338,0.270134874759152,0.03008635314563856363384628552,0.1,0.0111375301587635,140.2,15.614817282586427,42945,15.0353123629092,4783.012326680985075,42945,4783.012326680985075,734.85802569,163.53383126644437,0.00009464066306253609,0.111375301587635,,-26.68411918045525,104254069.49754263,519,451,141869.67530091,15800.77787277870346936024785,314.56690754082,35.0349841968485219995697607,5.82220758,0.6484501251283145312733,141869.67530091,15800.77787277870346936024785,0.04631069764173611,0.046522456846176945,0.03995701213692659
2017-03-12,530,8611,5725278,664.879572639647,11854812.90891901400414499178,0.222691082802548,0.02531194347854707017134683262,0.1,0.0113663929242242,279.7,31.7918010090550874,43055,15.0676116659137,4893.80047352472931,43055,4893.80047352472931,82.35615158,164.14894565642476,0.00009227853126826414,0.113663929242242,,-23.243786384098087,104297053.49754263,1256,1147,1266414.85178053,143945.6881041065520273891483,1104.11059440325,125.4975484778607639786820865,4.69326915,0.5334554125803972554343,1266414.85178053,143945.6881041065520273891483,0.046319029493206806,0.04675957940736015,0.0399209680713674
2017-03-13,583,8621,5722223,663.753972856977,13461911.66374491085248904524,0.361374636979671,0.04662413257308192657279049228,0.1,0.0129018829220449,373.3,48.1627289479936117,43105,15.0788032335085,5561.356633547454145,43105,5561.356633547454145,90.44884746,183.05249576301384,0.00010409812390414957,0.129018829220449,,-15.011522007151108,104340674.49754263,1033,933,1153587.66226464,148834.5295885385874651376234,1236.49127788279,159.5306570137344307708931727,12.9,1.6643428969437921,1153646.36226464,148842.1029938138278214376234,0.04725028396495714,0.052620131328140834,0.04325084372827958
2017-03-14,348,8604,5612284,652.287773128777,15341285.16037329365996738675,0.284437086092715,0.04180377156690482520558592988,0.1,0.0146970186416825,171.8,25.249478026410535,43020,15.0428724454839,6322.6574196518115,43020,6322.6574196518115,38.92714007,197.7033562832785,0.00011790282817066074,0.146970186416825,,-2.9279869124847937,104383654.49754263,604,538,2681513.57416472,394102.549874235588589129414,5051.80013785264,742.464008000744733851466668,89.95,13.21996826819340875,2717868.47416472,399445.636304400619781629414,0.04802460932899987,0.05816547244605709,0.0464618106017609
2017-03-15,480,8590,5649628,657.698253783469,17308688.93512950073041400804,0.378002528445006,0.06265380500300638040401600627,0.1,0.0165749698185211,299,49.559159757378089,42950,15.0122091324392,7118.94953705481245,42950,7118.94953705481245,89.17701502,218.1034564156184,0.0001316883297671018,0.165749698185211,,14.495207001364536,104426669.39754263,791,640,1171004.31509491,194093.611800561054040223376,1829.6942423358,303.2712684383771649056558538,10.061653845,1.667716088052817780286295,1171004.31509491,194093.611800561054040223376,0.04885923866644298,0.06158317769896391,0.0486035690003636
2017-03-16,515,8586,5653101,658.409154437456,20218248.27347844640982118733,0.267779960707269,0.05182404345491252300777333938,0.1,0.0193532194560165,272.6,52.756876237100979,42930,14.999039506448,8308.33711246788345,42930,8308.33711246788345,44.17516264,243.8630954730768,0.00016428589606571397,0.193532194560165,,30.26063702568973,104469689.49754263,1018,926,2364896.5450426,457683.618269846474618188029,2558.99828524975,495.2485540200832299084262088,17.726605135,3.430668793878039955447275,2369632.41214127,458600.1610225973611934945096,0.05024794563214953,0.06736505390354415,0.051303235832898884
2017-03-17,401,8551,5663029,662.265115191206,16701372.22596801574471807204,0.649602122015915,0.1038077795287897398114211105,0.1,0.0159802094252159,489.8,78.2710657647074782,42755,14.9317285625888,6832.338539751058045,42755,6832.338539751058045,92.75047402,199.2564641035174,0.00014905764114552837,0.159802094252159,,11.564152173995828,104512849.49754263,754,538,1126817.41636547,180067.7829750091281874805497,2094.47853986701,334.7020570369522936532653746,37.710589275,6.026231141628006330994725,1126829.45444845,180069.7066858801134585667036,0.05220048071257668,0.07630966992454936,0.05667432272694762
2017-03-18,453,8562,5678044,663.167951413221,17911256.2999640699283408372,0.455879059350504,0.07809606724685622635412013387,0.1,0.0171308739993718,407.1,69.7397880514425978,42810,14.9448501448121,7333.72715913106758,42810,7333.72715913106758,105.4016222,210.41219458311994,0.00017797033770860967,0.171308739993718,,17.549673927576,104555414.39754263,893,691,991971.58652896,169933.4025978455456038250733,1435.55945952093,245.9238821965933374034895177,9.92895465,1.7009167105462673068887,991971.58652896,169933.4025978455456038250733,0.052475078009547364,0.07722243908670166,0.05726828896154189
2017-03-19,736,8513,5798484,681.132855632562,19099967.72558984203535368207,0.235980284775466,0.04309066646785669581828423608,0.1,0.0182602824252277,430.9,78.6835569703061593,42565,14.8532112932208,7772.489214298170505,42565,7772.489214298170505,41.98985066,213.4632460647583,0.00017898372789542386,0.182602824252277,,23.513815285188684,104598424.49754263,1826,1637,2491040.64101038,454871.0563756978611052956353,1534.1763764702,280.1449392445830855715726454,5.03989246,0.92029859712375599013142,2511446.72828171,458597.2655433811598197649537,0.0526481188043669,0.07794582144007023,0.057820053244628716
2017-03-20,470,8561,5653394,660.36607872912,24815912.18717591818217143891,0.450666666666667,0.1068768621539644923842668792,0.1,0.0237152800637495,405.6,96.189175938567972,42805,14.9308791370355,10151.325631287973475,42805,10151.325631287973475,56.34423558,264.04730805298504,0.00022852454873353224,0.237152800637495,,70.35779047047227,104641025.19754263,900,734,1857173.57110998,440433.9136586697306587567001,2533.71474594245,600.8775480167711383245821628,100,23.7152800637495,1859746.62352176,441044.1202443104186900043912,0.05607163169272927,0.08962067076351826,0.0667419467230374
