date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-08-29,411,258,176622,684.58139535,,110.245053821085,0.108903654929577,,0.1,,30.928638,,3225000,12.9275374256121,,3225000,,52.74995265,,,,,,9105562499.99999901,284,482,172617453.513819,,402779.01568627,,4378.426391,,194139485.560784,,,,
2015-08-30,331,193,124884,647.06735751,,108.23818341057,0.105800341666667,,0.1,,25.392082,,2412500,9.66803817533535,,2412500,,127.342684,,,,,,9107974999.99999901,240,422,71523347.191941,,223544.5623604,,1123.532092,,94335805.316088,,,,
2015-08-31,375,244,154230,632.09016393,,113.428637787746,0.105308011857708,,0.1,,26.642927,,3050000,12.2187130427147,,3050000,,72.94970072,,,,,,9111024999.99999901,253,438,124894617.935102,,393405.57140622,,1086.288709,,172311640.275926,,,,
2015-09-01,254,209,130393,623.88995215,,111.815764855167,0.1105715,,0.1,,18.797155,,2612500,10.46302862057,,2612500,,358.6261734,,,,,,9113637499.99999901,170,288,25412639.054085,,162297.61903394,,2372.80501,,46741714.281774,,,,
2015-09-02,303,217,134161,618.25345622,,111.192886241567,0.109886422772727,,0.1,,24.17501301,,2712500,10.8602949645417,,2712500,,82.49626964,,,,,,9116349999.999999,220,379,110506208.82892599,,315972.70242646,,603.699905,,119753654.21962699,,,,
2015-09-03,260,290,152435,525.63793103,,113.846461013345,0.10840545631068,,0.1,,22.331524,,3625000,14.5079893311111,,3625000,,449.28054694,,,,,,9119974999.999999,206,338,20299064.943114,,65704.71245203,,4589.1767005,,22208192.808785,,,,
2015-09-04,192,117,78052,667.11111111,,116.403310255043,0.108743040322581,,0.1,,13.484137,,1462500,5.85228479611903,,1462500,,306.1996099,,,,,,9121437499.999999,124,201,29789187.200765,,148393.99974583,,1750.909082,,29827193.948911,,,,
2015-09-05,203,120,75944,632.86666667,,99.288268739,0.104338261904762,,0.1,,13.146621,,1500000,6.00135647098317,,1500000,,117.30244304,,,,,,9122937499.999999,126,212,77772783.444858,,380569.35815406,,2147.5011705,,80680703.92866,,,,
2015-09-06,192,96,68294,711.39583333,,90.937238560625,0.224105972972973,,0.1,,24.875763,,1200000,4.80045374151803,,1200000,,539.42993016,,,,,,9124137499.999999,111,186,16914407.210088,,108428.24502025,,7190.654366,,20167653.573766,,,,
2015-09-07,189,168,101073,601.625,,91.2650452018453,0.112900133802817,,0.1,,16.031819,,2100000,8.39886097638814,,2100000,,244.94930246,,,,,,9126237499.999999,142,233,37257658.658997,,172072.71760044,,2214.373826,,40092943.200903,,,,
