date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-11-18,21554,4140,15495706,3742.92415458937,4207150513.788,0.00004888830793524749,0,2.8876856848112618,0,0,0,0,0,1.35949426,1.7514911702088203,0.005396443404897751,42.07150513788,,46.397930578008214,100000000,59067,40500,73556765,3094643816.6233317582,2005.37244444444,84369.0370998072323221993872,35,1472.5026798258,81217584,3416946002.54220048192,,0.08454598363951055,0.08801772033029079
2017-11-19,14010,4246,11159180,2628.16297691945,3937028459.22401,0.0000450857071140893,0,1.8243029669573936,0,0,0,0,0,2.46031372,1.6696115050976263,0.004910041157217999,39.3702845922401,,41.98976110400911,100000000,40463,25725,40645223,1600213996.8250629340423,1752.88870748299,69011.7272721292248777567459,30,1181.108537767203,45093062,1775326684.0755275481862,,0.08533127047013098,0.08852864496600692
2017-11-20,13097,4238,10846494,2559.34261444077,3613524201.35101,0.00005220481816054048,0,2.0574962933432195,0,0,0,0,0,1.39968522,1.5591200729896497,0.004369503197820635,36.1352420135101,,33.20061983457439,100000000,39412,25282,71444635,2581669176.2918941633135,3027.73475199747,109407.9280161435611107010194,32,1156.3277444323232,76547190,2766051236.104140191619,,0.0869786630032385,0.08762680350495106
2017-11-21,12743,4244,9895222,2331.57917059378,3454090826.85561,0.00003752466789922178,0,1.2483706516713091,0,0,0,0,0,3.03078134,1.5130540181624004,0.0042685265013419505,34.5409082685561,,20.438277136310436,100000000,33268,21322,32994792,1139670083.8120886598312,1714.63347715974,59224.99764876996019937885141,28,967.1454315195708,36559415,1262795399.8670739106815,,0.08708410665837567,0.08750155328749139
2017-11-22,9906,4335,9239319,2131.33079584775,3580434123.27278,0.000018810227352152873,0,0.5929736070492666,0,0,0,0,0,3.74198938,1.5855308809536752,0.0043401319845739975,35.8043412327278,,30.225753529863432,100000000,31524,19488,26723753,956826371.4311332434334,1603.48501642036,57411.72468948070898723425801,28,1002.5215545163784,31248716,1118839690.7486009275048,,0.08675422747436874,0.08724939557851791
2017-11-23,12872,4238,8995243,2122.52076451156,3527508881.1316,0.00009386293003966383,0,2.684761387924503,0,0,0,0,0,2.51964733,1.5816258183053804,0.004370234361863623,35.275088811316,,16.96903182312758,100000000,28603,17194,39688094,1400001040.601857671704,2583.14161916948,91120.55002841001981234583568,30,1058.25266433948,44414537,1566726737.188480500692,,0.08538756322982728,0.0872579070182174
2017-11-24,8311,4525,8295192,1833.19160220994,3483319923.28441,0.00010896214931497432,0,3.0183604981741023,0,0,0,0,0,4.86102878,1.5775923590805792,0.004231221118555561,34.8331992328441,,21.011669014274748,100000000,27701,16301,20571777,716580806.8146399009657,1480.58652843384,51573.56552640094473946188434,30,1044.995976985323,24135041,840700691.6458609001081,,0.08490062658615748,0.08045540941269533
2017-11-25,9673,4499,9313004,2070.01644809958,3836645074.52027,0.00007881607911882582,0,2.551040032839035,0,0,0,0,0,4.07028221,1.7486335693961668,0.0043796491057860884,38.3664507452027,,35.917119844249086,100000000,32367,19096,24568321,942599277.5388291436667,1506.29702555509,57791.27063860469317612206674,31,1189.3599731012837,28764248,1103582104.1147952730696,,0.08631551113316725,0.08131940549051052
2017-11-26,9430,4242,8799531,2074.38260254597,3849912386.04667,0.00011753083861365471,0,3.6150135340787903,0,0,0,0,0,2.5930723,1.7457330131959727,0.004130850134424312,38.4991238604667,,33.2453947435386,100000000,30758,17653,38564293,1484691492.7983289355431,2431.13312184898,93596.49517934696306262971897,30,1154.973715814001,42916793,1652258929.4010102472931,,0.08628790492825841,0.07708676828131997
2017-11-27,10845,4089,9627734,2354.54487649792,4013795513.68567,0.0007122201171753,0,24.457638823799915,0,0,0,0,0,3.8191485,1.841691955883898,0.0041248663765502125,40.1379551368567,,46.64838612903251,100000000,34340,20277,26183847,1050966076.1963198937249,1510.37500616462,60623.36423726517925826954995,32,1284.4145643794144,30625874,1229259956.6390260502558,,0.08561883248471679,0.07654754624986504
